Frame,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16
569,"(25.645530635670898, 140.86471401092336)","(9.611887381929312, 148.33112410946785)","(84.65172352619145, 131.1213136019282)","(144.62872074021442, 84.81704060468557)","(187.58525512161063, 109.85908625702899)","(211.83251478219373, 103.39939230759524)","(227.10969419978605, 103.9023003024921)","(203.98790400834687, 60.722170851651335)","(208.20850028814118, 69.61050085731178)","(298.42430472542026, 74.0153059079079)","(349.35018310462465, 74.41137825966356)","(358.0456897751288, 60.18204877044827)","(350.7819025296545, 46.87758705202089)","(354.74036099842544, 39.27357328756627)","(377.4890719852528, 46.70519052126479)","(419.1335778960448, 40.16903717351297)","(428.1346399785144, 41.60179657337551)"
570,"(25.62456146231882, 140.92727345911516)","(9.583438045488784, 148.3911946064012)","(84.63366471589971, 131.1799586975797)","(144.63005890464783, 84.89011443252049)","(187.5150971663395, 109.9298229450023)","(211.80792723931512, 103.45328880684713)","(227.05038741016665, 103.9124183705938)","(203.70505411497444, 60.617190981748706)","(208.24098854832948, 69.64579329607493)","(298.38799878391205, 74.05478689742525)","(349.3598430077957, 74.45392743360999)","(358.0034080717272, 60.192111446836385)","(350.74831998310316, 46.92854940865737)","(354.7056692403391, 39.30283720849601)","(377.4574680339417, 46.772402127309114)","(419.0875047376921, 40.20894372093876)","(428.09766529976326, 41.63390231515373)"
571,"(25.62534270817266, 140.9246791452259)","(9.58682246293538, 148.38955299671366)","(84.65464444220078, 131.1717845515306)","(144.59080690740112, 84.90312317743435)","(187.51770822493864, 109.92196313363308)","(211.80534506208502, 103.44903141113389)","(227.06481705709496, 103.91485519549788)","(203.85408776310229, 60.7958114565264)","(208.23895393315624, 69.65641123816214)","(298.39005035650746, 74.06190616730046)","(349.4663317877323, 74.55514477771378)","(358.02321994033935, 60.219907000318756)","(350.76021073158347, 46.92026757632613)","(354.71442481465, 39.31049980187837)","(377.4715587321598, 46.7668008811174)","(419.0829139001891, 40.1324661519868)","(428.1481752950345, 41.66900941643759)"
572,"(25.621620551470592, 140.92626606455943)","(9.584520781197117, 148.39085742294228)","(84.65261766770311, 131.15074198338786)","(144.59580483456233, 84.87228984064726)","(187.51663938577255, 109.9203484070474)","(211.81215750684456, 103.44599522883735)","(227.070823633907, 103.90170590707386)","(203.83322019833125, 60.782871359752114)","(208.26645904113602, 69.65584062890834)","(298.3988755709081, 74.06686413474785)","(349.3161634712446, 74.45574676208767)","(358.01670236326123, 60.201306637256145)","(350.7582093240394, 46.91847478376013)","(354.7125681111627, 39.3356143991814)","(377.45824549171687, 46.75426612238358)","(419.1384528805044, 40.21541615208149)","(428.1163672860615, 41.62025027794905)"
573,"(25.645520150884895, 140.9192463800312)","(9.584554941766575, 148.3876367193831)","(84.66118400144349, 131.16200656534681)","(144.60521196085114, 84.87592106471492)","(187.52283912472492, 109.9206349917766)","(211.81506416117202, 103.44348168508256)","(227.0723676286206, 103.89916042623616)","(203.85241285874744, 60.76703768662387)","(208.22858944387323, 69.66092542390551)","(298.4003968675088, 74.05126123258505)","(349.327341086741, 74.44612522089969)","(357.9950300061266, 60.192615591721804)","(350.7614840149629, 46.91921821081926)","(354.7125102854487, 39.29837305660677)","(377.47784295437935, 46.76293817663073)","(419.0884524951826, 40.1774285375015)","(428.12785160816236, 41.63551211399633)"
574,"(25.638507042034238, 140.92014072669804)","(9.582871368360859, 148.38709261412535)","(84.68770855324098, 131.17120088447174)","(144.54647470328064, 84.86980335718835)","(187.52620860416422, 109.91783904994185)","(211.80888281744492, 103.44608268975533)","(227.06577952674613, 103.89684582578622)","(203.84852424114538, 60.758180392672)","(208.23813892233377, 69.66171597117808)","(298.40443065481844, 74.04212956699021)","(349.35983929493796, 74.46261232172188)","(358.00976001964955, 60.19105086438545)","(350.7598229613167, 46.91875120588809)","(354.70379438510275, 39.30019497819611)","(377.4571313976015, 46.76637175055462)","(419.10111850835955, 40.19517554674852)","(428.09855470688103, 41.61348827798997)"
575,"(25.63194124384419, 140.92455272460106)","(9.583384019787237, 148.3858313437418)","(84.6544040351251, 131.16673208187123)","(144.58349034629887, 84.86064569324073)","(187.5179521447337, 109.92107361728922)","(211.81570104001128, 103.45101937805828)","(227.077152475313, 103.89424289093597)","(203.8243340670227, 60.761111246720496)","(208.25863090658427, 69.65600279819556)","(298.401116850033, 74.05776049841226)","(349.36197763255615, 74.4226024809723)","(357.99607871177307, 60.18878055921479)","(350.75733709606675, 46.91694636904697)","(354.7050480117223, 39.30863648701102)","(377.45507846550515, 46.77000267406428)","(419.1311424909692, 40.18625701531518)","(428.0980011972133, 41.60322672648346)"
576,"(25.637228503411965, 140.91552519773933)","(9.58642780260495, 148.37780277104486)","(84.63397930503878, 131.16544475507794)","(144.58710064956165, 84.87010328194813)","(187.515057744395, 109.9161257758843)","(211.80557888353874, 103.44753061019125)","(227.06627003398125, 103.89964307385499)","(203.83523973853374, 60.7693573634214)","(208.250572802772, 69.64594773227043)","(298.3961785754156, 74.04544450613547)","(349.3018244986181, 74.47575062343894)","(358.01065057091034, 60.192256021845196)","(350.756091469845, 46.918713405983986)","(354.6976854808083, 39.30676701019205)","(377.4852507379523, 46.77179584512502)","(419.10027038700997, 40.20838894955652)","(428.1840685637658, 41.513159841989456)"
577,"(25.635828117499706, 140.92017425314404)","(9.5857418575826, 148.385362440556)","(84.64815263566992, 131.16637764990938)","(144.60222758057597, 84.87656589045147)","(187.52434974124253, 109.91501620649998)","(211.81159682449737, 103.44979374512765)","(227.0439228593444, 103.87027178636022)","(203.86157691035265, 60.74612322760083)","(208.25693685839292, 69.64385719879832)","(298.40826936569624, 74.04588260965667)","(349.3206977574506, 74.43641219436078)","(357.99943617968944, 60.20389698998567)","(350.76012310377337, 46.91649645497439)","(354.7047964520894, 39.30239348298447)","(377.468082309301, 46.752851320516505)","(419.12390705606583, 40.168156688213344)","(428.1105905194049, 41.598612045214225)"
578,"(25.634773971960474, 140.91701890470776)","(9.583218967771188, 148.38838111170207)","(84.63915590256313, 131.1947283042858)","(144.58386354700843, 84.87507672919425)","(187.51877168241762, 109.9225903186769)","(211.80452319399936, 103.4455439688982)","(227.05874177232295, 103.91331669245194)","(203.87426372934607, 60.778850425487974)","(208.26838090897277, 69.64914060585957)","(298.39848339102076, 74.05532671561588)","(349.35742468993993, 74.42651424311143)","(358.000026566001, 60.20045575547694)","(350.7566935987831, 46.91579282921173)","(354.6999711879106, 39.303157852232694)","(377.47404869715035, 46.751549034644555)","(419.08320957674806, 40.14520322811404)","(428.11007005603875, 41.628674348583644)"
579,"(25.633923252939198, 140.92347634453006)","(9.587575767591472, 148.38127763945894)","(84.6500776553926, 131.15141880654517)","(144.60144606111197, 84.87497655915033)","(187.52405209770384, 109.91965244824854)","(211.81054404642666, 103.44683834834466)","(227.03391479625785, 103.91880027576383)","(203.84599833568663, 60.81463724383061)","(208.22670053648648, 69.65056193430516)","(298.415727601527, 74.0463398596117)","(349.30953666104995, 74.47436482268036)","(358.0259685373766, 60.193584473720094)","(350.75909443679546, 46.917136681355494)","(354.43980920082225, 38.05692232480293)","(377.46585863210686, 46.757300622893155)","(419.1036357371481, 40.18286755997577)","(428.1028812253784, 41.62699341018726)"
580,"(25.618426291046248, 140.91612392853546)","(9.587660037161966, 148.38265038898422)","(84.6280841019955, 131.17461747981255)","(144.5836238534628, 84.87068452122827)","(187.51947047229262, 109.9126442121192)","(211.8062711816659, 103.45070665901386)","(227.0274204814395, 103.93017637511257)","(203.84327392009158, 60.83382215487702)","(208.2589572057044, 69.6516573994207)","(298.4129872652544, 74.0397311307331)","(349.3462079563151, 74.4715183551169)","(358.00954393101074, 60.180519160439424)","(350.7557098629761, 46.91658961432925)","(354.7055139083204, 39.324459023817795)","(377.4872596334642, 46.763185463739035)","(419.0892733084791, 40.19001101895006)","(428.1192076531822, 41.61800948135842)"
581,"(25.628018522180202, 140.91624958791368)","(9.59073116958259, 148.38080782935222)","(84.66840987311994, 131.1721815865301)","(144.6185762728328, 84.88548348098641)","(187.5238622718621, 109.92037132761223)","(211.81116276493287, 103.4434465549362)","(227.0178404041536, 103.92538720380504)","(203.82689074509554, 60.789335237339586)","(208.25819882823575, 69.66344644412405)","(298.4063756019377, 74.04057364174093)","(349.31841842106695, 74.42399005424083)","(358.01460709272, 60.20580896721081)","(350.7508042437333, 46.917371627622444)","(354.7076779694565, 39.32501574681323)","(377.437325336636, 46.74375487276564)","(419.12497091282813, 40.111942485166644)","(428.0974225654243, 41.61669222803221)"
582,"(25.643672332360882, 140.8970137356286)","(9.588263578873256, 148.36172563726424)","(84.6385058421969, 131.1523482822051)","(144.56275295858364, 84.87147005176877)","(187.51380840770224, 109.91486577097977)","(211.8115243636056, 103.44742379722553)","(227.00694816155269, 103.94446528521058)","(203.87670145900063, 60.81877889917046)","(208.26834565004094, 69.66458208072973)","(298.4041880538793, 74.03773409845856)","(349.2778749379929, 74.46564649722443)","(358.0085019855584, 60.17794942136202)","(350.75422173251616, 46.91622832728864)","(354.708449442666, 39.32017695035487)","(377.4641235720846, 46.760301043942256)","(419.08237386690627, 40.16705371773027)","(428.1041189168441, 41.62453861970502)"
583,"(25.630207645118144, 140.91177848931628)","(9.585664602960554, 148.37978131712217)","(84.66177796253432, 131.1644071709398)","(144.60215166759266, 84.86087507468199)","(187.51389909708874, 109.91841115954152)","(211.8025864110526, 103.44968329865742)","(227.00646203651198, 103.96407236203518)","(203.78386675458503, 60.767835193511544)","(208.1052339123538, 69.63220827443263)","(298.4072407568335, 74.05466496770838)","(349.3080476148335, 74.46758033876061)","(358.00037103924757, 60.182015067226644)","(350.75343303869744, 46.91427077047063)","(354.70806895975795, 39.311290109932074)","(377.4423951491457, 46.75145113414167)","(419.0515034155295, 40.19462205001097)","(428.094539899703, 41.576132383796754)"
584,"(25.630615268945633, 140.91168807085597)","(9.58413848493797, 148.3781214657766)","(84.65362964613821, 131.15308917595428)","(144.6014255072393, 84.86664584657213)","(187.51522413148746, 109.91849661214124)","(211.80276207479784, 103.44247782554763)","(226.99302885628447, 103.96386222560444)","(203.82514657469164, 60.785475359307405)","(208.24843321813566, 69.6488359830837)","(298.3933247589096, 74.03706593322588)","(349.33307870942406, 74.49041358802066)","(358.0006583044646, 60.19782914034432)","(350.75253161394284, 46.91401252876827)","(354.69956642550153, 39.304931883772745)","(377.44796881988896, 46.74365368813507)","(419.087861465788, 40.14225829197868)","(428.12436014603776, 41.62221664403464)"
585,"(25.62437665635544, 140.90853285886965)","(9.58413857088295, 148.38485340154048)","(84.64373679523618, 131.15960761038485)","(144.48219544613676, 84.7906815326813)","(187.5167573606566, 109.91153799034669)","(211.80026314971747, 103.44810113938442)","(226.98699771310416, 103.98931892672634)","(203.84735252457662, 60.800891234855605)","(208.2618734652939, 69.63980928773032)","(298.4158954578807, 74.0263263463884)","(349.33418292193124, 74.45031336499223)","(358.01325234026416, 60.18542371887128)","(350.75508371575717, 46.91556482314068)","(354.69430810424404, 39.137871982189495)","(377.4500107561607, 46.75478587273729)","(419.1164995277441, 40.15422189695978)","(428.1083997772043, 41.62053126437561)"
586,"(25.631313934013995, 140.90928126136208)","(9.58612068310176, 148.37904079853155)","(84.64411382619886, 131.14815758547368)","(144.61066668202974, 84.8777583098135)","(187.51723247352302, 109.91142753286111)","(211.81008570501731, 103.44979838558575)","(226.9620275809119, 103.98421223328786)","(203.79173260904295, 60.77663276877431)","(208.27901998768235, 69.64229486761334)","(298.4085026572096, 74.03293772055223)","(349.3432949248111, 74.40915964219376)","(358.00639257531674, 60.17535284619975)","(350.75877259248006, 46.91412282888574)","(354.71473723061416, 39.32638556529865)","(377.46555564962694, 46.7509711551372)","(419.0927663395724, 40.14887768040986)","(428.1221608470523, 41.58458839961913)"
587,"(25.63521983413415, 140.9141371602852)","(9.589646736889945, 148.371616625465)","(84.65001701814238, 131.15228169801907)","(144.6328022933174, 84.8562065401384)","(187.52581321966733, 109.89870615928022)","(211.80251100143263, 103.44306199442033)","(226.96143568510922, 103.97319802683487)","(203.87279912172934, 60.75714405466426)","(208.27316363865233, 69.64470441689596)","(298.4190171715473, 74.02922994280418)","(349.35405906242795, 74.42769873721095)","(358.0083139750907, 60.18740844788819)","(350.7577282839518, 46.91133067612303)","(354.7028593539568, 39.313340849601765)","(377.4585021451017, 46.748138625568195)","(419.127121741568, 40.16528210433502)","(428.1199374609803, 41.59039600834933)"
588,"(25.627887720870586, 140.90924084966974)","(9.590391812185372, 148.38026853897168)","(84.64919811923389, 131.16942938320662)","(144.63732869262446, 84.8545877755002)","(187.52425999322372, 109.90810577636661)","(211.8105464115987, 103.44869332871484)","(226.8943085212396, 103.99702009772041)","(203.8744471225179, 60.81009414278592)","(208.29044994203872, 69.65119660623321)","(298.41990844568085, 74.02712524091099)","(349.28872484047145, 74.42351589591769)","(358.0081891914046, 60.16884762061319)","(350.7589652172186, 46.90992295347055)","(354.7122250624056, 39.310622011451976)","(377.4907741143085, 46.76615266078526)","(419.0727334195633, 40.195490875722456)","(428.0984256186059, 41.594814662613594)"
589,"(25.623806942302487, 140.91374642170663)","(9.589055260817652, 148.37526502723577)","(84.63525946092706, 131.15640201434616)","(144.60608846430648, 84.85871446835988)","(187.5200248908084, 109.9048948634857)","(211.80890335280532, 103.44731506792297)","(226.9299620835015, 104.01595150907924)","(203.8691746579001, 60.781662677476156)","(208.27121023544012, 69.64731860062645)","(298.4077377098469, 74.03387418101612)","(349.3321496936921, 74.43590968228992)","(358.0132971849714, 60.18776649652446)","(350.75962793508506, 46.91107673396599)","(354.6950343215039, 39.289732093622646)","(377.47105396970164, 46.73853826443744)","(419.05861935331706, 40.168499870828555)","(428.1311304238838, 41.61383110558627)"
590,"(25.631665357102015, 140.90507979457024)","(9.590581474584924, 148.36999704954263)","(84.643070474979, 131.14829077940652)","(144.60050974419738, 84.85804311065354)","(187.519925241395, 109.90989234907059)","(211.80867006457217, 103.44705857155381)","(226.94673108775862, 104.01372228829811)","(203.85253512995698, 60.775637150808116)","(208.25224954625492, 69.65502127490798)","(298.4078907321786, 74.02855590904133)","(349.33022388868943, 74.42112098599759)","(357.9913187947508, 60.192986529977674)","(350.76797448513514, 46.90650626704221)","(354.7184918052142, 39.31770779270683)","(377.4511009162774, 46.74728418775272)","(419.1829151131427, 40.11363534264273)","(428.0767356624884, 41.592655641135025)"
591,"(25.636615714010517, 140.9115439527152)","(9.593308950707707, 148.37256042377916)","(84.65864197595157, 131.16873100665967)","(144.60741003841923, 84.86281660656714)","(187.5265911417945, 109.90858177908511)","(211.81832470300225, 103.44755692307693)","(226.94931673369285, 104.02658965147707)","(203.84962582068968, 60.82733707317287)","(208.2603242125491, 69.65785411855832)","(298.40385821188977, 74.0368114133798)","(349.3650038825009, 74.42088940581122)","(358.01546767258276, 60.193420456917586)","(350.7589465786062, 46.908909891400825)","(354.71219831416613, 39.30753662792792)","(377.4796492563388, 46.74459852339005)","(419.0880841678077, 40.1756613247866)","(428.0995433017028, 41.607800007420856)"
592,"(25.632264616050772, 140.9105860937663)","(9.597949280504142, 148.37546689980027)","(84.65875772385655, 131.150285390122)","(144.62915769947958, 84.86648700339461)","(187.52253461593736, 109.91390289094767)","(211.80894866997258, 103.44745644212452)","(226.92159979729502, 104.02839949395872)","(203.82896369625038, 60.73329107247123)","(208.2744839560562, 69.65731694874722)","(298.40333330899324, 74.03067408339281)","(349.3281211613949, 74.44726346398798)","(358.00428610712714, 60.194975468391135)","(350.75685767536015, 46.914040550458616)","(354.72179694982293, 39.32277810856779)","(377.46100394914004, 46.75078031656583)","(419.0508410974247, 40.17548114930753)","(428.1046718890824, 41.59784001680974)"
593,"(25.636776810795045, 140.9093630009982)","(9.588073784648977, 148.37678638297135)","(84.65727691817443, 131.1666997772119)","(144.23418307381203, 84.80467767272724)","(187.61888131259894, 109.89605222565086)","(211.83049253815605, 103.43985615100996)","(226.87021994246376, 104.03122054114436)","(204.05027715762108, 60.723607043046236)","(208.080394078499, 69.63371673072598)","(298.4135945494911, 74.02937194684814)","(349.2795824942896, 74.4309051338901)","(358.01385414585224, 60.19004480621215)","(350.7546595872201, 46.909958794245554)","(354.7219330821663, 39.313035930874534)","(377.4657927799003, 46.75802948701378)","(419.07537367132915, 40.12401565939816)","(428.104017458916, 41.59522947216809)"
594,"(25.63533042191758, 140.90928854130888)","(9.589672514131383, 148.36912804792598)","(84.57708897430483, 131.15772625615594)","(144.70586603551175, 84.82587664262728)","(187.61301842273528, 109.89393852506973)","(211.82679883947117, 103.44234977934055)","(226.90343143122945, 104.05841064345158)","(204.04455428252385, 60.74820738973064)","(208.06990193613655, 69.64313718483491)","(298.39822537662815, 74.0224517472929)","(349.36810564017003, 74.41771469416996)","(358.0157600859701, 60.198482623720764)","(350.7619384519936, 46.90928334491711)","(354.7236977460365, 39.3195404277052)","(377.45215577729937, 46.718626837186264)","(419.17407534570106, 40.17480297378166)","(428.123558656217, 41.616134973960705)"
595,"(25.65386808185442, 140.90906206172775)","(9.591016912262338, 148.37502483554746)","(84.65130974977438, 131.1549308470249)","(144.60738939788524, 84.88625595367903)","(187.51621620111928, 109.91444389485429)","(211.81044405681823, 103.44256311614983)","(226.98078324216368, 104.06824307321394)","(203.89275063051969, 60.74637940348946)","(208.28278806885342, 69.64968238601199)","(298.3991554449984, 74.02936585899359)","(349.3519427987933, 74.42253549062977)","(358.0298021240182, 60.194314038117625)","(350.7568843043349, 46.909725106263025)","(354.71482905793914, 39.31748650143725)","(377.4716135145522, 46.75914162406122)","(419.0948412855763, 40.16769733375093)","(428.1153173608496, 41.594596855014565)"
596,"(25.625765982096674, 140.90870791020345)","(9.587038552460914, 148.3771656108003)","(84.65518885271479, 131.14637645871747)","(144.6223957007647, 84.8864168111245)","(187.52850542307442, 109.91302568047749)","(211.81285080779338, 103.44631289797275)","(226.9851287739547, 104.07177091318347)","(203.86699283726435, 60.783707907293845)","(208.2794691012041, 69.64784185999726)","(298.4151152141752, 74.02625292355157)","(349.30770274480807, 74.47048664206214)","(358.00801914882203, 60.19449523440314)","(350.7575542719471, 46.907520429196936)","(354.7172536784718, 39.30948875161663)","(377.4914215234978, 46.75079829878472)","(419.1056520793377, 40.20563612764317)","(428.1022086594926, 41.618639101859884)"
597,"(25.637502226972448, 140.90485921996188)","(9.590613115863604, 148.36462721107722)","(84.6470745200694, 131.14782489501843)","(144.62074458275492, 84.87458597748405)","(187.52008782797296, 109.90560431214477)","(211.81652096451214, 103.44688314938573)","(227.00339563939792, 104.07525762344162)","(203.84220227739704, 60.78376357994584)","(208.24560031107114, 69.64869914126814)","(298.3944136950603, 74.02209178311385)","(349.34525592860837, 74.44214091282218)","(357.99841929338317, 60.207610742946954)","(350.7588196785733, 46.90773262802775)","(354.7145892001896, 39.31078656607567)","(377.4754237100399, 46.738233708583614)","(419.0728694425641, 40.15355261903508)","(428.114489421201, 41.60690582352815)"
598,"(25.628849344479043, 140.9098831338755)","(9.592795323066081, 148.36595662070167)","(84.66320351245764, 131.15321857725638)","(144.62601812203903, 84.87068615969113)","(187.52505128997174, 109.90379717455428)","(211.81307137658905, 103.44607389582981)","(227.01560597260806, 104.07865028763321)","(203.85495117360298, 60.760004060564924)","(208.27174844214355, 69.64650930652505)","(298.76498108904815, 74.30380624486203)","(349.33256683804245, 74.4530165341153)","(358.0128205156556, 60.19799276097679)","(350.7586135293517, 46.906351399507436)","(354.7054163799538, 39.31448018190894)","(377.48605151493445, 46.75598026502645)","(419.1510700056203, 40.13738972779953)","(428.11702471260594, 41.61616046613323)"
599,"(25.633671749372894, 140.90160216566946)","(9.584385347030544, 148.37097878253238)","(84.6668973801974, 131.14352026115174)","(144.62579475147868, 84.85694020777397)","(187.526405917497, 109.90735150461019)","(211.81977638237805, 103.44507260734106)","(227.01868593940534, 104.07389925611488)","(203.89853236823453, 60.76596746927184)","(208.28411037812515, 69.6463789599917)","(298.41890594269813, 74.02894158229807)","(349.36383407385887, 74.40880781855908)","(358.0054999016766, 60.1710486621918)","(350.76373398469696, 46.90517479335491)","(354.719792045535, 39.300437736354496)","(377.41848141714655, 46.77910038752721)","(419.08568954343536, 40.12919595774744)","(428.1206145993405, 41.602738684027514)"
600,"(25.63044366264618, 140.89801326461279)","(9.58897684473747, 148.368760019603)","(84.64604847647001, 131.15432037757208)","(144.63961403278952, 84.86793592885866)","(187.5284274512363, 109.90777987748349)","(211.8146084970819, 103.44680085878272)","(227.04009574858605, 104.09250358453056)","(203.90133941903474, 60.817855218635046)","(208.27733939192822, 69.64374474800003)","(298.401527448838, 74.0215708015326)","(349.3294984644355, 74.43983696593915)","(358.0299993168321, 60.17390535457846)","(350.7649641105554, 46.90585811280114)","(354.7123123577412, 39.3129095089645)","(377.47268409778496, 46.75810078646212)","(419.11717030435386, 40.24202630281156)","(428.1020624213485, 41.594294562219986)"
601,"(25.63450010757631, 140.90181178690554)","(9.594481317486075, 148.3681559038516)","(84.64942648855768, 131.15713537851562)","(144.61896936927127, 84.85108303336301)","(187.5278029208975, 109.90472031651778)","(211.81073530668928, 103.44826801820817)","(227.06028182637337, 104.08605560580834)","(203.8215193737162, 60.78163859301889)","(208.2684381131736, 69.64101164940215)","(298.406918007144, 74.02279025493334)","(349.3154992917859, 74.46702954304574)","(358.0150357167218, 60.21328467280583)","(350.76136833754003, 46.90570595626843)","(354.71244502592435, 39.2986557758806)","(377.4839489879192, 46.73984986322154)","(419.0807019415947, 40.190007418481045)","(428.1372923009225, 41.59486009087506)"
602,"(25.63219612482133, 140.8979361044936)","(9.593432095494663, 148.36420388721115)","(84.64963343414708, 131.1544895990877)","(144.5817041279523, 84.8365992165045)","(187.53256460209298, 109.90770652486383)","(211.8089965366649, 103.44767240376876)","(227.02471430607076, 104.09104816614625)","(203.87553570446244, 60.75607793958344)","(208.2882014176159, 69.64526602519048)","(298.41261101388164, 74.02533176628415)","(349.0343728639767, 74.68986248101082)","(358.013494688779, 60.17160492678323)","(350.758704722828, 46.90054669951837)","(354.7190398601639, 39.306469446591926)","(377.4542445322041, 46.77002687562439)","(419.0748693422814, 40.18572226639572)","(428.11442171672275, 41.5917773283962)"
603,"(25.630917840124493, 140.8950754495414)","(9.59217816406028, 148.3624339842212)","(84.66401151264084, 131.14621379750608)","(144.62538230717988, 84.86387828050351)","(187.53245304055173, 109.90542127388149)","(211.82323284532768, 103.44569491861311)","(227.03459973230358, 104.10938266514158)","(203.85528970320777, 60.761027492772534)","(208.27102249559505, 69.6569838557303)","(298.4172346328076, 74.01207875544792)","(349.353548512602, 74.4673226983367)","(358.01846798709784, 60.17247084299708)","(350.7723101378316, 46.89711989779587)","(354.71345939283924, 39.3068234628942)","(377.4725720772302, 46.732104581345894)","(419.0594572905857, 40.18694030420963)","(428.0895885879717, 41.621532281826816)"
604,"(25.634965218134052, 140.90265568267608)","(9.592745876791696, 148.36698102787042)","(84.65492654972017, 131.14057267321445)","(144.60977440962827, 84.87549022899292)","(187.5263958172436, 109.90428266493916)","(211.81563489348542, 103.44454860247465)","(227.05313919035967, 104.07058370203251)","(203.86988042951904, 60.765307850218306)","(208.27130620990715, 69.6335754620469)","(298.414424980175, 74.02657859355651)","(349.30549790396043, 74.45782442783887)","(358.02059932112047, 60.17361337254442)","(350.7587959293308, 46.90387394300628)","(354.71959561935415, 39.3148859889717)","(377.4552642858322, 46.741600358016726)","(419.0696945423815, 40.19500322986494)","(428.08240493635725, 41.56168351438947)"
605,"(25.63469266145338, 140.8870804025551)","(9.59175240157989, 148.36304859968718)","(84.6532616296069, 131.16628964933884)","(144.60920619906102, 84.87104446357195)","(187.5436562121428, 109.90858110321338)","(211.81661217484552, 103.44361904489365)","(227.02221491722912, 104.12284488821614)","(203.8735309201865, 60.73886767652882)","(208.27358535307798, 69.64650091706488)","(298.4083026526447, 74.03120235566455)","(349.282122041575, 74.43717486972713)","(358.0086601690525, 60.18357852784504)","(350.7619022578779, 46.90113819501171)","(354.7101774021881, 39.29974967984426)","(377.4710950712967, 46.73092167382031)","(419.1187992133257, 40.17437172982126)","(428.09672772140243, 41.60415796679898)"
606,"(25.63903377866678, 140.89454358375727)","(9.592711470925462, 148.36130903512043)","(84.65118688929853, 131.13941516264111)","(144.60577303220606, 84.86519330487499)","(187.5290088783193, 109.9001131663479)","(211.81659383726395, 103.44220882711397)","(227.06315836380142, 104.12329731199164)","(203.8906648415967, 60.773978658725326)","(208.26559600754268, 69.6277404251251)","(298.4038896724999, 74.01050748224479)","(349.31875022561223, 74.43359094646463)","(358.00725208915384, 60.17848015373708)","(350.76200848427214, 46.900582021252106)","(354.7157062524232, 39.29982660727762)","(377.48084303387355, 46.7500065085942)","(419.0977276045921, 40.14371653223261)","(428.13616581792496, 41.595369641238946)"
607,"(25.63776411805457, 140.8994747320446)","(9.593911513844528, 148.36513259565658)","(84.66494252197309, 131.13644599019247)","(144.6357694650957, 84.8642334718701)","(187.54075914730848, 109.8919878593206)","(211.82021928168874, 103.43868033717618)","(227.0547080960944, 104.12547165153798)","(203.85237083566858, 60.82754528236263)","(208.29192740877568, 69.63354699595261)","(298.405629248452, 74.00804780865938)","(349.3270900543638, 74.4666090297371)","(358.0223218696247, 60.17348293588777)","(350.75882417534376, 46.90016828133187)","(354.7149850410155, 39.305529399259875)","(377.4680701941172, 46.71816333843647)","(419.1442661099308, 40.17966067901369)","(428.1170403336712, 41.599051047908844)"
608,"(25.634421382878568, 140.8938600268161)","(9.586673351970992, 148.364382033855)","(84.66269955254769, 131.13471184107752)","(144.60668368589194, 84.84305643250342)","(187.53022490408068, 109.8991658303302)","(211.8147680651277, 103.44144347454898)","(227.03768013482696, 104.12113411552335)","(203.84991953885321, 60.74967629434485)","(208.30021958961655, 69.65015159134263)","(298.4102388547756, 74.01566347831228)","(349.3259906815672, 74.4490144498234)","(358.017308900045, 60.182210974939224)","(350.76202095659414, 46.89813430570221)","(354.71286133435206, 39.29557063319424)","(377.47823422869095, 46.72422685958424)","(419.10999925664515, 40.09665485866994)","(428.1688787001337, 41.609965389067284)"
609,"(25.63306856571098, 140.89822688392331)","(9.590168822692377, 148.35792631564368)","(84.66121979322729, 131.14078253547078)","(144.63771788585126, 84.85395751525718)","(187.52944103280552, 109.89248210888321)","(211.81505142099368, 103.44143812427791)","(227.04291410511334, 104.14396400050208)","(203.84344696192773, 60.73630653592211)","(208.29683217454027, 69.64008005205635)","(298.4031967618681, 74.01598214739056)","(349.311104529131, 74.4931701348795)","(357.999921733026, 60.15880162967134)","(350.7614301657628, 46.90003361425837)","(354.71660277653456, 39.29730927864314)","(377.4691397406456, 46.74010554894564)","(419.08839795974995, 40.143255116254)","(428.12941653542873, 41.57922048133688)"
610,"(25.64664798093225, 140.9003175334718)","(9.597736288483484, 148.35628949183305)","(84.65431813114319, 131.1518853221507)","(144.6291349650699, 84.86537394479247)","(187.52996216494205, 109.89529843501622)","(211.81729938116018, 103.41494068961349)","(227.0609527011768, 104.13405795899305)","(203.85098376964888, 60.773682824067166)","(208.2715562338761, 69.64634700435639)","(298.41172386325843, 74.01552175105101)","(349.3197971618018, 74.45384939305207)","(358.0365197570952, 60.192117616956466)","(350.76926124075413, 46.89856872171988)","(354.7221689267512, 39.29398459067174)","(377.4658021450004, 46.7286951905905)","(419.07383512811947, 40.143766446213526)","(428.12637649170676, 41.60586239410082)"
